source ID,target ID
G0047,T1027.004
G0047,T1559.001
G0047,T1005
G0047,T1039
G0047,T1025
G0047,T1140
G0047,T1562.001
G0047,T1041
G0047,T1070.004
G0047,T1083
G0047,T1105
G0047,T1534
G0047,T1204.002
G0047,T1112
G0047,T1106
G0047,T1027
G0047,T1137
G0047,T1120
G0047,T1547.001
G0047,T1218.011
G0047,T1053.005
G0047,T1113
G0047,T1566.001
G0047,T1082
G0047,T1033
G0047,T1080
G0047,T1221
G0047,T1059.005
G0047,T1071.001
G0047,T1102
G0047,T1059.003
G0078,T1140
G0078,T1562.001
G0078,T1564.003
G0078,T1105
G0078,T1204.002
G0078,T1112
G0078,T1106
G0078,T1055.002
G0078,T1059.001
G0078,T1055.012
G0078,T1547.001
G0078,T1547.009
G0078,T1566.001
G0078,T1588.002
G0078,T1059.005
G0078,T1059.003
G0043,T1070.004
G0043,T1056.001
G0043,T1027
G0043,T1113
G0125,T1560.001
G0125,T1592.004
G0125,T1136.002
G0125,T1589.002
G0125,T1567.002
G0125,T1203
G0125,T1590
G0125,T1590.005
G0125,T1105
G0125,T1003.001
G0125,T1078.003
G0125,T1003.003
G0125,T1095
G0125,T1059.001
G0125,T1114.002
G0125,T1218.011
G0125,T1132.001
G0125,T1583.003
G0125,T1071.001
G0125,T1583.006
G0125,T1505.003
G0126,T1027.001
G0126,T1574.002
G0126,T1140
G0126,T1041
G0126,T1203
G0126,T1564.003
G0126,T1090.001
G0126,T1059.007
G0126,T1204.002
G0126,T1036.004
G0126,T1106
G0126,T1027
G0126,T1057
G0126,T1001.003
G0126,T1547.001
G0126,T1053.005
G0126,T1029
G0126,T1566.001
G0126,T1573.001
G0126,T1082
G0126,T1016
G0126,T1124
G0126,T1059.005
G0126,T1071.001
G0126,T1059.003
G0126,T1220
G0072,T1546.009
G0072,T1560
G0072,T1020
G0072,T1548.002
G0072,T1553.002
G0072,T1005
G0072,T1140
G0072,T1070.004
G0072,T1071.002
G0072,T1083
G0072,T1074.001
G0072,T1112
G0072,T1027
G0072,T1057
G0072,T1055
G0072,T1547.001
G0072,T1569.002
G0072,T1082
G0072,T1059.005
G0072,T1059.003
G0072,T1543.003
G0100,T1555.003
G0100,T1005
G0100,T1069.002
G0100,T1203
G0100,T1083
G0100,T1204.002
G0100,T1218.005
G0100,T1090.003
G0100,T1027
G0100,T1059.001
G0100,T1057
G0100,T1547.001
G0100,T1218.010
G0100,T1518
G0100,T1566.001
G0100,T1573.001
G0100,T1082
G0100,T1221
G0100,T1588.002
G0100,T1059.005
G0100,T1071.001
G0100,T1102
G0136,T1583.001
G0136,T1586.002
G0136,T1105
G0136,T1204.002
G0136,T1566.001
G0136,T1588.002
G0136,T1583.006
G0119,T1070.001
G0119,T1136
G0119,T1486
G0119,T1562.001
G0119,T1078.002
G0119,T1484.001
G0119,T1105
G0119,T1059.007
G0119,T1003.001
G0119,T1074.001
G0119,T1204.002
G0119,T1036.005
G0119,T1059.001
G0119,T1018
G0119,T1584.004
G0119,T1489
G0119,T1007
G0119,T1059.003
G0119,T1047
G0004,T1560
G0004,T1560.001
G0004,T1059
G0004,T1071.004
G0004,T1005
G0004,T1087.002
G0004,T1069.002
G0004,T1041
G0004,T1133
G0004,T1083
G0004,T1558.001
G0004,T1056.001
G0004,T1003.004
G0004,T1003.001
G0004,T1087.001
G0004,T1057
G0004,T1547.001
G0004,T1114.002
G0004,T1018
G0004,T1036.002
G0004,T1021.002
G0004,T1003.002
G0004,T1569.002
G0004,T1213.002
G0004,T1082
G0004,T1016
G0004,T1049
G0004,T1007
G0004,T1588.002
G0004,T1071.001
G0004,T1059.003
G0004,T1543.003
G0094,T1557
G0094,T1560.003
G0094,T1176
G0094,T1546.001
G0094,T1553.002
G0094,T1552.001
G0094,T1555.003
G0094,T1005
G0094,T1587
G0094,T1562.004
G0094,T1562.001
G0094,T1583.001
G0094,T1586.002
G0094,T1589.002
G0094,T1114.003
G0094,T1041
G0094,T1133
G0094,T1070.004
G0094,T1071.002
G0094,T1083
G0094,T1105
G0094,T1059.007
G0094,T1056.001
G0094,T1003.001
G0094,T1078.003
G0094,T1074.001
G0094,T1071.003
G0094,T1204.002
G0094,T1036.004
G0094,T1112
G0094,T1218.005
G0094,T1040
G0094,T1027
G0094,T1550.002
G0094,T1059.001
G0094,T1055
G0094,T1059.006
G0094,T1547.001
G0094,T1219
G0094,T1021.001
G0094,T1593.001
G0094,T1027.002
G0094,T1566.001
G0094,T1566.002
G0094,T1598.003
G0094,T1082
G0094,T1070.006
G0094,T1588.002
G0094,T1059.005
G0094,T1505.003
G0094,T1543.003
G0032,T1098
G0032,T1010
G0032,T1560
G0032,T1560.003
G0032,T1560.002
G0032,T1542.003
G0032,T1218.001
G0032,T1134.002
G0032,T1485
G0032,T1005
G0032,T1588.004
G0032,T1562.004
G0032,T1562.001
G0032,T1561.001
G0032,T1561.002
G0032,T1583.001
G0032,T1189
G0032,T1055.001
G0032,T1041
G0032,T1048.003
G0032,T1203
G0032,T1090.002
G0032,T1008
G0032,T1070.004
G0032,T1083
G0032,T1564.001
G0032,T1105
G0032,T1491.001
G0032,T1056.001
G0032,T1074.001
G0032,T1204.002
G0032,T1587.001
G0032,T1036.005
G0032,T1571
G0032,T1027
G0032,T1110.003
G0032,T1057
G0032,T1001.003
G0032,T1012
G0032,T1547.001
G0032,T1021.001
G0032,T1021.002
G0032,T1489
G0032,T1547.009
G0032,T1566.001
G0032,T1132.001
G0032,T1573.001
G0032,T1082
G0032,T1016
